ingredient_combo,recipe_count,avg_rating,median_rating,avg_rating_count,lower_rated_count,lower_rated_share,overall_avg_rating,overall_lower_rated_share,rating_difference_from_overall,lower_rated_share_difference_from_overall
butter + buttermilk + large egg,11,4.4364,4.6,1017.55,5,0.4545,4.5442,0.1821,-0.1078,0.2724
cream cheese + egg + vanilla extract,11,4.4364,4.5,718.55,5,0.4545,4.5442,0.1821,-0.1078,0.2724
almond extract + egg white + white sugar,11,4.4455,4.6,96.36,5,0.4545,4.5442,0.1821,-0.0987,0.2724
brown sugar + butter + raisin,11,4.4455,4.6,194.55,5,0.4545,4.5442,0.1821,-0.0987,0.2724
olive oil + salt + worcestershire sauce,11,4.4455,4.4,833.27,5,0.4545,4.5442,0.1821,-0.0987,0.2724
cream cheese + egg + white sugar,11,4.4727,4.6,725.45,5,0.4545,4.5442,0.1821,-0.0715,0.2724
onion + salt and pepper + water,29,4.3586,4.4,457.03,13,0.4483,4.5442,0.1821,-0.1856,0.2662
egg + milk + shortening,18,4.2944,4.45,165.17,8,0.4444,4.5442,0.1821,-0.2498,0.2623
milk + unsweetened cocoa powder + white sugar,45,4.32,4.4,618.49,20,0.4444,4.5442,0.1821,-0.2242,0.2623
baking powder + vanilla extract + water,27,4.3444,4.4,162.59,12,0.4444,4.5442,0.1821,-0.1998,0.2623
all-purpose flour + egg + unsweetened cocoa powder,44,4.375,4.5,817.05,19,0.4318,4.5442,0.1821,-0.1692,0.2497
