comparison,target,model,min_rating_count_filter,pr_auc_left,pr_auc_right,pr_auc_delta,precision_at_10_delta,lift_at_10_delta
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,LogisticRegression,0,0.4933284975049272,0.5077521073794882,0.014423609874560983,0.023616236162361526,0.07501299595977895
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_category_relative,LogisticRegression,0,0.49261651288862307,0.5070017220616125,0.014385209172989466,0.022878228782287735,0.07274173071368062
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,LogisticRegressionBalanced,0,0.48529502586575424,0.4996471653633591,0.014352139497604888,0.01697416974169741,0.056178892266279146
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,LogisticRegression,0,0.48827052008326177,0.5026129190806293,0.014342398997367556,0.01697416974169741,0.056178892266279146
content_only_core -> content_plus_reliability,low_rating_bottom30_category_relative,LogisticRegressionBalanced,0,0.49403385152545864,0.5083756616442551,0.014341810118796428,0.02656826568265691,0.08432753451544528
content_only_core -> content_plus_reliability,low_rating_bottom30_raw,LogisticRegressionBalanced,0,0.4870441829866814,0.5012760693326777,0.014231886345996259,0.014760147601476037,0.04885121066632947
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_category_m25,ExtraTreesClassifier,25,0.5513350274701313,0.5655441442108738,0.014209116740742544,0.009459459459459474,0.03241071499118009
content_plus_quantity -> content_quantity_plus_reliability,low_rating_bottom30_raw,LogisticRegression,0,0.48660823988906454,0.5007331057593015,0.01412486587023698,0.01697416974169741,0.056178892266278924
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_raw,LogisticRegressionBalanced,0,0.4859583516056035,0.4999643078867505,0.01400595628114698,0.011808118081180874,0.03908096853306331
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_category_relative,LogisticRegressionBalanced,0,0.4923586577291073,0.5062909624489202,0.013932304719812938,0.02583025830258312,0.08211061313489987
content_quantity_interactions -> full_content_quantity_interactions_plus_reliability,low_rating_bottom30_bayes_global_m25,HistGradientBoostingClassifier,25,0.5537739158922618,0.5675568037116759,0.013782887819414169,0.008108108108108247,0.026229207017235634
