seed,target,feature_set,model,min_rating_count_filter,n_obs,positive_class_share,pr_auc,roc_auc,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20,lift_at_5,lift_at_10,lift_at_20,default_f1,tuned_f1,best_threshold,brier_score
22,low_rating_bottom30_raw,content_plus_reliability,ExtraTreesClassifier,0,2704,0.3021449704142012,0.5249642801266546,0.7265299715440114,0.6691176470588235,0.6088560885608856,0.5600739371534196,0.11138310893512852,0.20195838433292534,0.3708690330477356,2.2145582835337314,2.0151124399860887,1.8536596402238024,0.35223367697594504,0.35223367697594504,0.5,0.19315819699324802
22,low_rating_bottom30_raw,content_plus_reliability,XGBoostClassifier,0,2704,0.3021449704142012,0.5382723387818149,0.726614943837206,0.6838235294117647,0.6420664206642066,0.5674676524953789,0.11383108935128519,0.21297429620563035,0.37576499388004897,2.2632298941608466,2.12502766398533,1.878130394550189,0.3437221727515583,0.5170149253731343,0.35,0.1817493736743927
22,low_rating_bottom20_raw,content_plus_reliability,DummyClassifier,0,2704,0.22374260355029585,0.22374260355029585,0.5,0.19852941176470587,0.2177121771217712,0.22735674676524953,0.04462809917355372,0.09752066115702479,0.20330578512396694,0.8873116188624209,0.9730474825409411,1.0161531293441897,0.0,0.36566938652160774,0.05,0.1736840121686125
22,low_rating_bottom20_raw,content_plus_reliability,LogisticRegression,0,2704,0.22374260355029585,0.4082927574772487,0.7195894148728832,0.5294117647058824,0.4944649446494465,0.4491682070240296,0.11900826446280992,0.22148760330578512,0.40165289256198344,2.366164316966456,2.2099722484828157,2.007522036021448,0.29500580720092917,0.45123537061118335,0.25,0.15803020732204415
22,low_rating_bottom20_raw,content_plus_reliability,LogisticRegressionBalanced,0,2704,0.22374260355029585,0.4040756120524598,0.7192279676666181,0.49264705882352944,0.4907749077490775,0.45286506469500926,0.11074380165289256,0.21983471074380165,0.4049586776859504,2.201847350510452,2.193479918270257,2.024044851132736,0.4473684210526316,0.4473684210526316,0.5,0.20984069226378935
22,low_rating_bottom20_raw,content_plus_reliability,HistGradientBoostingClassifier,0,2704,0.22374260355029585,0.4310494818096907,0.7345646687324543,0.5735294117647058,0.5387453874538746,0.4565619223659889,0.12892561983471074,0.2413223140495868,0.40826446280991735,2.5633446767136605,2.4078802110335156,2.0405676662440233,0.19230769230769232,0.4015369836695485,0.35,0.15264245146138583
22,low_rating_bottom20_raw,content_plus_reliability,ExtraTreesClassifier,0,2704,0.22374260355029585,0.43272383930834024,0.7298674299843688,0.5735294117647058,0.4981549815498155,0.4584103512014787,0.12892561983471074,0.2231404958677686,0.4099173553719008,2.5633446767136605,2.226464578695374,2.048829073799667,0.2388451443569554,0.1376281112737921,0.55,0.16415219721167518
22,low_rating_bottom20_raw,content_plus_reliability,XGBoostClassifier,0,2704,0.22374260355029585,0.4436913441394087,0.7363207194295591,0.5955882352941176,0.5645756457564576,0.4491682070240296,0.13388429752066117,0.2528925619834711,0.40165289256198344,2.661934856587263,2.523326522521424,2.007522036021448,0.21467391304347827,0.41263940520446096,0.35,0.15168055891990662
22,low_rating_bottom30_bayes_global_m25,content_plus_reliability,DummyClassifier,0,2704,0.3039940828402367,0.3039940828402367,0.5,0.29411764705882354,0.3062730627306273,0.2957486136783734,0.04866180048661801,0.10097323600973236,0.19464720194647203,0.9675110920280521,1.00749679029637,0.9728762182315348,0.0,0.46625070901871807,0.05,0.21160551421756965
22,low_rating_bottom30_bayes_global_m25,content_plus_reliability,LogisticRegression,0,2704,0.3039940828402367,0.5193380402220062,0.6965941910945286,0.6544117647058824,0.6678966789667896,0.5693160813308688,0.10827250608272507,0.22019464720194648,0.3746958637469586,2.152712179762416,2.1970713137788307,1.8727867200957042,0.4166666666666667,0.5227156712608474,0.3,0.18919671569739627
