target,feature_set,model,min_rating_count_filter,n_obs_mean,n_obs_std,n_runs,rmse_mean,rmse_std,mae_mean,mae_std,r2_mean,r2_std,spearman_mean,spearman_std,pearson_mean,pearson_std
continuous_bayes_global_m25,content_quantity_interactions,Ridge,0,2704.0,0.0,5,0.13762862049674993,0.0028723626903856304,0.10130919116660615,0.0022314906216938696,0.16246743845014905,0.015383436348107285,0.3948339155346784,0.013630420647956654,0.4150887409148205,0.012180076198349757
continuous_bayes_global_m25,content_quantity_interactions,Ridge,25,1480.0,0.0,5,0.1634753865567269,0.004963285520838875,0.12386810692587233,0.0027704058246111056,0.24446974640962726,0.0076155570166394565,0.5107497532090376,0.008551536775718504,0.5007086072438796,0.006370897799459539
continuous_bayes_global_m25,content_quantity_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.15042675886316847,0.0029347164269210575,0.10794863147820204,0.002270178502493193,-0.00045087753832588894,0.0004579187477208349,,,2.9889601859691148e-15,3.904570194105427e-15
continuous_bayes_global_m25,content_quantity_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.18810661360808253,0.006131123497886976,0.14427254025533373,0.0030324615887692267,-0.00020381264327982152,0.000423944787006582,,,5.268689737946655e-16,2.4225250931040423e-15
continuous_bayes_global_m25,content_quantity_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.13065074294119614,0.003399453922381829,0.09316110463862493,0.0025463134226877304,0.24542828461505123,0.010159525664271231,0.47196680971525506,0.013814346429276769,0.49761331682910104,0.00957970661071289
continuous_bayes_global_m25,content_quantity_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.15937774610582048,0.0055307144989147706,0.1190763835325239,0.0036253299309369053,0.2820567710537924,0.003347061484923611,0.5498742275325936,0.005878808644179157,0.5323053651959063,0.0024104538143149665
continuous_bayes_global_m25,content_quantity_plus_reliability,Ridge,0,2704.0,0.0,5,0.13461402030766978,0.0031916816969363394,0.09846293646938112,0.0024921764092487478,0.1988140896512223,0.016066194618918617,0.45835808340660505,0.015145188819943771,0.45339878778925946,0.01450474882728675
continuous_bayes_global_m25,content_quantity_plus_reliability,Ridge,25,1480.0,0.0,5,0.1594377175137665,0.004767380546046832,0.1202964546526883,0.002522438911732165,0.28133559491175225,0.003982664521491647,0.5533454124550573,0.008945420025733656,0.5356116906501386,0.0017142994423437541
continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704.0,0.0,5,0.15042675886316847,0.0029347164269210575,0.10794863147820204,0.002270178502493193,-0.00045087753832588894,0.0004579187477208349,,,2.9889601859691148e-15,3.904570194105427e-15
continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,DummyRegressor,25,1480.0,0.0,5,0.18810661360808253,0.006131123497886976,0.14427254025533373,0.0030324615887692267,-0.00020381264327982152,0.000423944787006582,,,5.268689737946655e-16,2.4225250931040423e-15
continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.13066297803695942,0.0034371606431410954,0.09318348530660217,0.0025765884417051376,0.24528306634735947,0.011281223672913553,0.4705708078590588,0.01475687814920452,0.49706113664339924,0.01097159030180199
continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.15978727267568593,0.00512665091255946,0.11916134029283998,0.0034165188263432958,0.2782562117381523,0.004630238823154238,0.5464706671302807,0.0068823167332361735,0.528792700794712,0.004938064409881939
continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,Ridge,0,2704.0,0.0,5,0.13463825473276464,0.0030992345539875682,0.09837242180645021,0.00242625637020625,0.19852512485685886,0.014796540203338069,0.45936594015937926,0.014655799446368929,0.45339929180072785,0.013280597578496884
continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,Ridge,25,1480.0,0.0,5,0.1594315477437199,0.004613548284689133,0.12029241292224926,0.0023299073047044097,0.2813526205704696,0.0050951727781590175,0.5532541317829095,0.008988001123846737,0.5357493612358369,0.0019349130839732478
continuous_category_residual,content_only_core,DummyRegressor,0,2704.0,0.0,5,0.4167585130557245,0.019819370042755784,0.2825126600962654,0.006983985151018457,-0.0001503877772078166,0.0002342589587742178,,,9.80700431128381e-18,1.6445021568231695e-17
continuous_category_residual,content_only_core,DummyRegressor,25,1480.0,0.0,5,0.2445943488585643,0.006876165069483143,0.18555749140698496,0.0039110555658313844,-0.00015198067761295063,0.0002852039889721909,,,-1.5308633458086853e-17,9.871710739609043e-18
continuous_category_residual,content_only_core,HistGradientBoostingRegressor,0,2704.0,0.0,5,0.40436743378575224,0.0185489922648599,0.26852326362004864,0.006508109617486728,0.05831024837824739,0.004211200239601341,0.2826339476373108,0.015005330432624071,0.24470336048433455,0.010908474446281093
continuous_category_residual,content_only_core,HistGradientBoostingRegressor,25,1480.0,0.0,5,0.21663718196447673,0.006989504879644353,0.16036253261290223,0.004620184409820339,0.21538930902095244,0.019009447915964733,0.47914782163655445,0.019107521901106376,0.4642850223528125,0.02062772121006676
continuous_category_residual,content_only_core,Ridge,0,2704.0,0.0,5,0.40698544267991255,0.02029603345062747,0.2705082600176948,0.0076095972446648345,0.046368786202799675,0.007724261738342462,0.2877474661632791,0.016757562017579275,0.238697203449393,0.014409118506873809
continuous_category_residual,content_only_core,Ridge,25,1480.0,0.0,5,0.21675483374755297,0.0055121082586300175,0.16134901285577227,0.0032622528921034347,0.21443552978688923,0.008439953728588316,0.4915513747353287,0.007947556387708079,0.46917456504045657,0.006836547960172736
