threshold,flagged_share,precision,recall,f1,rank,target,feature_set,model,min_rating_count_filter
0.3,0.3614864864864865,0.5102803738317757,0.6348837209302326,0.5658031088082901,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.35,0.30067567567567566,0.5550561797752809,0.5744186046511628,0.5645714285714286,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.4,0.2574324324324324,0.5695538057742782,0.5046511627906977,0.5351418002466092,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.45,0.20405405405405405,0.5927152317880795,0.41627906976744183,0.4890710382513661,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.5,0.15878378378378377,0.625531914893617,0.34186046511627904,0.4421052631578947,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.55,0.1195945945945946,0.6666666666666666,0.2744186046511628,0.38879736408566723,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.6,0.0918918918918919,0.6985294117647058,0.22093023255813954,0.33568904593639576,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.65,0.06756756756756757,0.75,0.1744186046511628,0.2830188679245283,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.7,0.04256756756756757,0.7619047619047619,0.11162790697674418,0.1947261663286004,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.75,0.022972972972972974,0.8529411764705882,0.06744186046511629,0.125,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.8,0.012837837837837839,0.8947368421052632,0.03953488372093023,0.0757238307349666,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.85,0.005405405405405406,1.0,0.018604651162790697,0.0365296803652968,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.9,0.0,0.0,0.0,0.0,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
0.95,0.0,0.0,0.0,0.0,3,low_rating_bottom30_bayes_category_m25,content_plus_reliability,XGBoostClassifier,25
