seed,target,feature_set,model,min_rating_count_filter,n_obs,rmse,mae,r2,spearman,pearson
11,continuous_category_residual,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.39980715402726213,0.2646632865459196,0.05324266951021883,0.27969838076374426,0.2580702576888436
11,continuous_category_residual,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.39509933356275023,0.25654369430390006,0.07540796311216302,0.29994204472026126,0.2749466900528521
22,continuous_base_rating,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.3866809422938481,0.27580806828704474,-0.0001091111385740362,,-4.659518979651758e-16
22,continuous_base_rating,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.37190909216526113,0.258646461227638,0.07484300056098492,0.3068737914857625,0.29641947574105343
22,continuous_base_rating,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.3726639695110619,0.2585764418009727,0.0710835397757773,0.27742242583392757,0.2674785630290749
22,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.1499195829705524,0.10598126212184916,-0.0002417217218657619,,
22,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.13455548003940146,0.09696903521097938,0.1942672532062636,0.4602888939142452,0.45004640961780684
22,continuous_bayes_global_m25,full_content_quantity_interactions_plus_reliability,HistGradientBoostingRegressor,0,2704,0.12960730417593508,0.09072505193421858,0.2524380475922293,0.4740259943728931,0.5040020797434699
22,continuous_category_residual,full_content_quantity_interactions_plus_reliability,DummyRegressor,0,2704,0.38512067437123737,0.27439674637537675,-0.00010408532443584306,,-3.1985310020657635e-18
22,continuous_category_residual,full_content_quantity_interactions_plus_reliability,Ridge,0,2704,0.371909233676847,0.2586466783006531,0.06733547832543996,0.297564425942051,0.2828898657075604
